#cache,OPT,LRU,FIFO,RAND
0,0,0,0,0
5,21.46,5.12,5.06,5.07
10,34.09,9.94,9.97,9.84
15,43.22,15.17,14.92,15.19
20,50.45,19.79,19.67,19.88
25,56.63,24.88,24.93,24.22
30,62.01,29.92,30.04,30.04
35,66.71,35.11,34.91,35.03
40,70.86,40.02,40.2,40.28
45,74.63,45.41,45.09,44.89
50,78.03,50.21,50.11,49.92
55,81.16,54.96,55.14,55.24
60,84.01,60.02,59.65,59.61
65,86.65,65.01,65.04,64.33
70,89.05,69.85,69.75,69.77
75,91.26,74.84,75.27,74.31
80,93.22,79.92,79.55,78.94
85,95.03,85.02,84.19,84.79
90,96.57,89.61,89.17,89.55
95,97.92,94.36,94.37,94.24
100,99,99,99,99
